Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
GP3D_CHLMU	MAP1_CHLMU	MAP1_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|6	12	2	0.92	0.92|0.92	1|0|1|0	0.9195	0.9220	0.0401
GP3D_CHLMU	P01966	P01966	TCA04_2_SPC|TCA04_3_SPC	0|7	7	2	0.42	0.00|0.84	0|0|0|0	0.4220	0.8440	0.4292
GP3D_CHLMU	PYRH_CHLMU	PYRH_CHLMU	TCA04_2_SPC|TCA04_3_SPC	1|6	7	2	0.60	0.31|0.84	0|0|0|0	0.5765	0.8390	0.2166
GP3D_CHLMU	WIPI3_HUMAN	WIPI3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|11	16	2	0.88	0.84|0.93	1|0|0|3	0.8820	0.9260	0.0650
GP3D_CHLMU	FOLC_HUMAN	FOLC_HUMAN	TCA04_2_SPC|TCA04_3_SPC	7|0	7	2	0.43	0.87|0.00	0|0|0|0	0.4355	0.8710	0.4144
GP3D_CHLMU	ES8L2_HUMAN	ES8L2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|4	7	2	0.89	0.88|0.90	0|0|0|0	0.8910	0.9030	0.0596
GP3D_CHLMU	TET5A_HUMAN	TET5A_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|4	7	2	0.90	0.87|0.93	0|0|0|0	0.8980	0.9280	0.0479
GP3D_CHLMU	TYW4_HUMAN	TYW4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|6	7	2	0.51	0.18|0.84	0|0|0|0	0.5080	0.8380	0.2808
GP3D_CHLMU	PFKAP_HUMAN	PFKAP_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|7	9	2	0.64	0.42|0.92	0|1|0|0	0.6665	0.9160	0.1595
GP3D_CHLMU	DNAA1_CHLMU	DNAA1_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|6	9	2	0.82	0.76|0.90	0|0|0|1	0.8260	0.8950	0.0953
GP3D_CHLMU	TGDS_HUMAN	TGDS_HUMAN	TCA04_2_SPC|TCA04_3_SPC	10|22	32	2	0.89	0.84|0.95	0|8|1|4	0.8955	0.9530	0.0542
GP3D_CHLMU	GANP_HUMAN	GANP_HUMAN	TCA04_2_SPC|TCA04_3_SPC	6|2	8	2	0.55	0.87|0.27	1|0|0|0	0.5660	0.8660	0.2363
GP3D_CHLMU	TASOR_HUMAN	TASOR_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|1	6	2	0.31	0.55|0.09	0|0|0|0	0.3230	0.5540	0.5333
GP3D_CHLMU	ACADS_HUMAN	ACADS_HUMAN	TCA04_2_SPC|TCA04_3_SPC	22|0	22	2	0.50	1.00|0.00	4|0|4|0	0.5000	1.0000	0.3026
GP3D_CHLMU	TRIM3_HUMAN	TRIM3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|5	8	2	0.82	0.76|0.89	0|1|0|0	0.8225	0.8900	0.0999
GP3D_CHLMU	RPOA_CHLMU	RPOA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	4|2	6	2	0.72	0.84|0.63	0|0|0|0	0.7335	0.8400	0.1358
GP3D_CHLMU	MET_HUMAN	MET_HUMAN	TCA04_2_SPC|TCA04_3_SPC	10|0	10	2	0.48	0.98|0.00	0|0|2|0	0.4875	0.9750	0.3398
GP3D_CHLMU	NIT1_HUMAN	NIT1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|13	13	2	0.49	0.00|0.98	0|2|0|2	0.4875	0.9750	0.3398
GP3D_CHLMU	UB2L6_HUMAN	UB2L6_HUMAN	TCA04_2_SPC|TCA04_3_SPC	22|36	58	2	0.98	0.98|0.99	3|13|3|9	0.9830	0.9900	0.0085
GP3D_CHLMU	PTAR1_HUMAN	PTAR1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|11	11	2	0.46	0.00|0.92	0|2|0|1	0.4600	0.9200	0.3865
GP3D_CHLMU	LPXD_CHLMU	LPXD_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|16	22	2	0.72	0.56|0.88	1|5|1|2	0.7200	0.8770	0.1411
GP3D_CHLMU	PPCEL_HUMAN	PPCEL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|19	20	2	0.45	0.01|0.93	0|0|2|6	0.4665	0.9260	0.3764
GP3D_CHLMU	DCA16_HUMAN	DCA16_HUMAN	TCA04_2_SPC|TCA04_3_SPC	15|32	47	2	0.83	0.76|0.92	1|8|0|14	0.8415	0.9230	0.0801
GP3D_CHLMU	PQQCL_CHLMU	PQQCL_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|1	7	2	0.49	0.84|0.11	0|0|1|0	0.4765	0.8400	0.3636
GP3D_CHLMU	RTRAF_HUMAN	RTRAF_HUMAN	TCA04_2_SPC|TCA04_3_SPC	13|19	32	2	0.87	0.83|0.91	1|6|3|5	0.8725	0.9120	0.0740
GP3D_CHLMU	ACCA_CHLMU	ACCA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	19|14	33	2	0.84	0.92|0.75	5|5|1|5	0.8355	0.9170	0.0904
GP3D_CHLMU	PFKAL_HUMAN	PFKAL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|5	5	2	0.32	0.00|0.66	0|0|0|0	0.3295	0.6590	0.5253
GP3D_CHLMU	TRI18_HUMAN	TRI18_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|4	5	2	0.49	0.18|0.74	0|0|0|0	0.4570	0.7390	0.3912
GP3D_CHLMU	NNMT_HUMAN	NNMT_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|0	5	2	0.42	0.85|0.00	0|0|0|0	0.4255	0.8510	0.4244
GP3D_CHLMU	SDHA_HUMAN	SDHA_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|4	5	2	0.48	0.22|0.76	0|0|0|0	0.4895	0.7610	0.3269
GP3D_CHLMU	NADE_HUMAN	NADE_HUMAN	TCA04_2_SPC|TCA04_3_SPC	26|0	26	2	0.49	1.00|0.00	5|0|6|1	0.4995	0.9990	0.3059
GP3D_CHLMU	P34955	P34955	TCA04_2_SPC|TCA04_3_SPC	5|0	5	2	0.42	0.82|0.00	0|0|0|0	0.4110	0.8220	0.4437
GP3D_CHLMU	CBSL_HUMAN	CBSL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|5	5	2	0.38	0.00|0.76	0|0|0|0	0.3805	0.7610	0.4735
GP3D_CHLMU	PTPRM_HUMAN	PTPRM_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|4	5	2	0.33	0.11|0.56	0|0|0|0	0.3380	0.5630	0.5167
GP3D_CHLMU	MYD88_HUMAN	MYD88_HUMAN	TCA04_2_SPC|TCA04_3_SPC	10|14	24	2	0.88	0.86|0.90	0|6|0|5	0.8795	0.9000	0.0696
GP3D_CHLMU	CDYL2_HUMAN	CDYL2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|6	10	2	0.76	0.67|0.83	1|1|0|1	0.7495	0.8260	0.1306
GP3D_CHLMU	BTBD3_HUMAN	BTBD3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	37|79	116	2	0.79	0.59|0.98	13|26|9|17	0.7815	0.9770	0.1256
GP3D_CHLMU	NEMO_HUMAN	NEMO_HUMAN	TCA04_2_SPC|TCA04_3_SPC	8|0	8	2	0.49	0.96|0.00	1|0|0|1	0.4810	0.9620	0.3534
GP3D_CHLMU	SYG_CHLMU	SYG_CHLMU	TCA04_2_SPC|TCA04_3_SPC	1|7	8	2	0.49	0.09|0.88	0|0|1|1	0.4825	0.8800	0.3512
GP3D_CHLMU	IGKC_HUMAN	IGKC_HUMAN	TCA04_2_SPC|TCA04_3_SPC	7|11	18	2	0.78	0.75|0.83	2|1|3|2	0.7915	0.8320	0.1173
GP3D_CHLMU	GUAD_HUMAN	GUAD_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|6	6	2	0.47	0.00|0.92	0|0|0|1	0.4580	0.9160	0.3897
GP3D_CHLMU	KYNU_HUMAN	KYNU_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|1	6	2	0.48	0.84|0.11	1|0|0|0	0.4725	0.8350	0.3674
GP3D_CHLMU	SMUF2_HUMAN	SMUF2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|6	6	2	0.45	0.00|0.92	0|0|0|1	0.4600	0.9200	0.3865
GP3D_CHLMU	TRI14_HUMAN	TRI14_HUMAN	TCA04_2_SPC|TCA04_3_SPC	6|0	6	2	0.46	0.93|0.00	0|0|1|0	0.4640	0.9280	0.3816
GP3D_CHLMU	FABZ_CHLMU	FABZ_CHLMU	TCA04_2_SPC|TCA04_3_SPC	17|0	17	2	0.51	0.97|0.00	3|0|5|0	0.4860	0.9720	0.3421
GP3D_CHLMU	Y311_CHLMU	Y311_CHLMU	TCA04_2_SPC|TCA04_3_SPC	11|6	17	2	0.66	0.83|0.51	1|0|5|2	0.6715	0.8340	0.1535
GP3D_CHLMU	IRF3_HUMAN	IRF3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	8|4	12	2	0.58	0.72|0.45	0|0|1|4	0.5820	0.7190	0.2055
GP3D_CHLMU	EFG_CHLMU	EFG_CHLMU	TCA04_2_SPC|TCA04_3_SPC	4|0	4	2	0.41	0.77|0.00	0|0|0|0	0.3865	0.7730	0.4701
GP3D_CHLMU	MTL26_HUMAN	MTL26_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|0	4	2	0.35	0.75|0.00	0|0|0|0	0.3760	0.7520	0.4801
GP3D_CHLMU	TIRR_HUMAN	TIRR_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|1	4	2	0.53	0.69|0.33	0|0|0|0	0.5115	0.6930	0.2767
GP3D_CHLMU	GARS_HUMAN	GARS_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|3	4	2	0.42	0.20|0.63	0|0|0|0	0.4155	0.6280	0.4372
GP3D_CHLMU	PGTB2_HUMAN	PGTB2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	7|0	7	2	0.44	0.92|0.00	1|0|1|0	0.4585	0.9170	0.3881
GP3D_CHLMU	P02668	P02668	TCA04_2_SPC|TCA04_3_SPC	1|3	4	2	0.56	0.38|0.73	0|0|0|0	0.5515	0.7270	0.2411
GP3D_CHLMU	KCTD7_HUMAN	KCTD7_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|4	4	2	0.40	0.00|0.79	0|0|0|0	0.3955	0.7910	0.4622
GP3D_CHLMU	OAS1_HUMAN	OAS1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|4	4	2	0.40	0.00|0.80	0|0|0|0	0.3985	0.7970	0.4586
GP3D_CHLMU	P02662	P02662	TCA04_2_SPC|TCA04_3_SPC	19|6	25	2	0.48	0.92|0.06	3|0|8|3	0.4895	0.9230	0.3269
GP3D_CHLMU	HEM2_CHLMU	HEM2_CHLMU	TCA04_2_SPC|TCA04_3_SPC	4|0	4	2	0.43	0.81|0.00	0|0|0|0	0.4030	0.8060	0.4499
GP3D_CHLMU	MOC2B_HUMAN	MOC2B_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|0	4	2	0.37	0.79|0.00	0|0|0|0	0.3945	0.7890	0.4631
GP3D_CHLMU	ZBTB1_HUMAN	ZBTB1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|3	4	2	0.43	0.18|0.63	0|0|0|0	0.4040	0.6270	0.4458
GP3D_CHLMU	DEGPL_CHLMU	DEGPL_CHLMU	TCA04_2_SPC|TCA04_3_SPC	0|4	4	2	0.35	0.00|0.69	0|0|0|0	0.3450	0.6900	0.5116
GP3D_CHLMU	HS71B_HUMAN	HS71B_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|4	4	2	0.39	0.00|0.72	0|0|0|0	0.3620	0.7240	0.4939
GP3D_CHLMU	Q0IIK2	Q0IIK2	TCA04_2_SPC|TCA04_3_SPC	3|1	4	2	0.36	0.57|0.16	0|0|0|0	0.3645	0.5740	0.4909
GP3D_CHLMU	KBTB4_HUMAN	KBTB4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	12|23	35	2	0.82	0.70|0.94	3|6|2|10	0.8195	0.9400	0.1041
GP3D_CHLMU	OAS2_HUMAN	OAS2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	21|21	42	2	0.94	0.94|0.93	7|6|7|6	0.9355	0.9410	0.0334
GP3D_CHLMU	INP5K_HUMAN	INP5K_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|27	30	2	0.48	0.01|0.94	0|11|0|7	0.4765	0.9440	0.3636
GP3D_CHLMU	RS7_CHLMU	RS7_CHLMU	TCA04_2_SPC|TCA04_3_SPC	10|4	14	2	0.50	0.75|0.29	2|0|4|1	0.5230	0.7540	0.2639
GP3D_CHLMU	FUK_HUMAN	FUK_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|9	11	2	0.44	0.12|0.76	1|3|1|0	0.4390	0.7560	0.4062
GP3D_CHLMU	Y679_CHLMU	Y679_CHLMU	TCA04_2_SPC|TCA04_3_SPC	10|1	11	2	0.44	0.85|0.03	1|0|4|0	0.4375	0.8500	0.4104
GP3D_CHLMU	GAL3A_HUMAN	GAL3A_HUMAN	TCA04_2_SPC|TCA04_3_SPC	14|7	21	2	0.59	0.82|0.35	5|0|5|2	0.5865	0.8200	0.1935
GP3D_CHLMU	H90B4_HUMAN	H90B4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|6	8	2	0.49	0.34|0.64	0|1|0|2	0.4885	0.6350	0.3323
GP3D_CHLMU	MURA_CHLMU	MURA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	5|10	15	2	0.63	0.49|0.75	0|4|1|3	0.6190	0.7460	0.1667
GP3D_CHLMU	Q2UVX4	Q2UVX4	TCA04_2_SPC|TCA04_3_SPC	5|0	5	2	0.45	0.93|0.00	1|0|0|0	0.4630	0.9260	0.3832
GP3D_CHLMU	RS3_CHLMU	RS3_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|6	9	2	0.58	0.44|0.71	0|1|1|2	0.5755	0.7100	0.2218
GP3D_CHLMU	Q1RMN8	Q1RMN8	TCA04_2_SPC|TCA04_3_SPC	1|8	9	2	0.45	0.08|0.81	0|2|0|2	0.4430	0.8080	0.4019
GP3D_CHLMU	DHB8_HUMAN	DHB8_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|10	13	2	0.47	0.18|0.76	0|3|2|2	0.4695	0.7610	0.3729
GP3D_CHLMU	SDHB_HUMAN	SDHB_HUMAN	TCA04_2_SPC|TCA04_3_SPC	24|8	32	2	0.47	0.92|0.03	9|2|9|1	0.4765	0.9220	0.3636
GP3D_CHLMU	KCTD6_HUMAN	KCTD6_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|15	17	2	0.45	0.04|0.90	0|5|2|3	0.4655	0.8950	0.3782
GP3D_CHLMU	P02769	P02769	TCA04_2_SPC|TCA04_3_SPC	19|6	25	2	0.46	0.88|0.03	4|0|8|4	0.4525	0.8760	0.3928
GP3D_CHLMU	GLGB_CHLMU	GLGB_CHLMU	TCA04_2_SPC|TCA04_3_SPC	23|18	41	2	0.82	0.89|0.74	5|9|6|8	0.8125	0.8860	0.1083
GP3D_CHLMU	CBR4_HUMAN	CBR4_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|2	6	2	0.51	0.60|0.43	0|0|0|2	0.5140	0.5990	0.2726
GP3D_CHLMU	GUAA_CHLMU	GUAA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	6|0	6	2	0.41	0.87|0.00	0|0|2|0	0.4340	0.8680	0.4182
GP3D_CHLMU	PLS1_HUMAN	PLS1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|10	10	2	0.42	0.00|0.83	0|3|0|2	0.4170	0.8340	0.4350
GP3D_CHLMU	P02768-1	P02768-1	TCA04_2_SPC|TCA04_3_SPC	4|2	6	2	0.52	0.69|0.34	1|1|0|0	0.5145	0.6910	0.2683
GP3D_CHLMU	FOLKP_CHLMU	FOLKP_CHLMU	TCA04_2_SPC|TCA04_3_SPC	8|3	11	2	0.44	0.75|0.13	2|0|3|1	0.4390	0.7490	0.4062
GP3D_CHLMU	RACK1_HUMAN	RACK1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|18	20	2	0.46	0.02|0.86	0|7|0|6	0.4385	0.8560	0.4076
GP3D_CHLMU	BIP_HUMAN	BIP_HUMAN	TCA04_2_SPC|TCA04_3_SPC	32|65	97	2	0.58	0.28|0.90	6|28|11|30	0.5880	0.8950	0.1870
GP3D_CHLMU	Q6NXH9	Q6NXH9	TCA04_2_SPC|TCA04_3_SPC	0|3	3	2	0.29	0.00|0.56	0|0|0|0	0.2825	0.5650	0.5545
GP3D_CHLMU	P00761	P00761	TCA04_2_SPC|TCA04_3_SPC	0|3	3	2	0.33	0.00|0.71	0|0|0|0	0.3535	0.7070	0.5044
GP3D_CHLMU	P12763	P12763	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.35	0.71|0.00	0|0|0|0	0.3555	0.7110	0.5010
GP3D_CHLMU	NACAM_HUMAN	NACAM_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.13	0.22|0.00	0|0|0|0	0.1120	0.2240	0.6167
GP3D_CHLMU	RPOC_CHLMU	RPOC_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.22	0.42|0.00	0|0|0|0	0.2080	0.4160	0.5917
GP3D_CHLMU	EFTU_CHLMU	EFTU_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.34	0.69|0.00	0|0|0|0	0.3435	0.6870	0.5136
GP3D_CHLMU	GLYA_CHLMU	GLYA_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|5	8	2	0.51	0.39|0.60	0|2|0|2	0.4945	0.5950	0.3154
GP3D_CHLMU	RCBT1_HUMAN	RCBT1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.35	0.69|0.00	0|0|0|0	0.3470	0.6940	0.5090
GP3D_CHLMU	OMCB_CHLMU	OMCB_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.33	0.67|0.00	0|0|0|0	0.3365	0.6730	0.5173
GP3D_CHLMU	Y873_CHLMU	Y873_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.35	0.70|0.00	0|0|0|0	0.3515	0.7030	0.5057
GP3D_CHLMU	ALF1_CHLMU	ALF1_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.36	0.72|0.00	0|0|0|0	0.3605	0.7210	0.4961
GP3D_CHLMU	RPOB_CHLMU	RPOB_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.27	0.50|0.00	0|0|0|0	0.2510	0.5020	0.5727
GP3D_CHLMU	IGG1_HUMAN	IGG1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|3	3	2	0.35	0.00|0.67	0|0|0|0	0.3340	0.6680	0.5211
GP3D_CHLMU	MSRA_HUMAN	MSRA_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.33	0.71|0.00	0|0|0|0	0.3560	0.7120	0.5003
GP3D_CHLMU	FRIH_HUMAN	FRIH_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.35	0.68|0.00	0|0|0|0	0.3410	0.6820	0.5148
GP3D_CHLMU	Q28194	Q28194	TCA04_2_SPC|TCA04_3_SPC	13|0	13	2	0.48	0.94|0.00	3|0|5|0	0.4720	0.9440	0.3693
GP3D_CHLMU	MOMPM_CHLMU	MOMPM_CHLMU	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.32	0.65|0.00	0|0|0|0	0.3270	0.6540	0.5288
GP3D_CHLMU	RL1_CHLMU	RL1_CHLMU	TCA04_2_SPC|TCA04_3_SPC	0|3	3	2	0.33	0.00|0.62	0|0|0|0	0.3085	0.6170	0.5432
GP3D_CHLMU	KCTD9_HUMAN	KCTD9_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.36	0.66|0.00	0|0|0|0	0.3310	0.6620	0.5229
GP3D_CHLMU	HSP7C_HUMAN	HSP7C_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.32	0.65|0.00	0|0|0|0	0.3270	0.6540	0.5288
GP3D_CHLMU	K2C1_HUMAN	K2C1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|3	3	2	0.33	0.00|0.62	0|0|0|0	0.3075	0.6150	0.5443
GP3D_CHLMU	TBB5_HUMAN	TBB5_HUMAN	TCA04_2_SPC|TCA04_3_SPC	3|0	3	2	0.35	0.73|0.00	0|0|0|0	0.3625	0.7250	0.4932
GP3D_CHLMU	TBA4A_HUMAN	TBA4A_HUMAN	TCA04_2_SPC|TCA04_3_SPC	9|10	19	2	0.60	0.62|0.58	1|3|3|6	0.6035	0.6230	0.1802
GP3D_CHLMU	ACTB_HUMAN	ACTB_HUMAN	TCA04_2_SPC|TCA04_3_SPC	9|6	15	2	0.48	0.66|0.34	3|3|3|1	0.5040	0.6640	0.2958
GP3D_CHLMU	K22E_HUMAN	K22E_HUMAN	TCA04_2_SPC|TCA04_3_SPC	8|13	21	2	0.57	0.44|0.66	2|5|5|3	0.5510	0.6620	0.2457
GP3D_CHLMU	K1C10_HUMAN	K1C10_HUMAN	TCA04_2_SPC|TCA04_3_SPC	105|169	274	2	0.55	0.61|0.47	46|62|41|75	0.5415	0.6130	0.2503
GP3D_CHLMU	EF1A1_HUMAN	EF1A1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|20	22	2	0.44	0.02|0.84	0|9|0|7	0.4320	0.8440	0.4195
GP3D_CHLMU	K1C9_HUMAN	K1C9_HUMAN	TCA04_2_SPC|TCA04_3_SPC	0|4	4	2	0.42	0.00|0.83	0|1|0|0	0.4140	0.8280	0.4405
GP3D_CHLMU	GRP75_HUMAN	GRP75_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|6	10	2	0.50	0.46|0.56	0|3|0|3	0.5070	0.5570	0.2885
GP3D_CHLMU	HNRPK_HUMAN	HNRPK_HUMAN	TCA04_2_SPC|TCA04_3_SPC	2|2	4	2	0.54	0.54|0.51	0|1|0|0	0.5265	0.5390	0.2594
GP3D_CHLMU	HNRPU_HUMAN	HNRPU_HUMAN	TCA04_2_SPC|TCA04_3_SPC	4|0	4	2	0.39	0.79|0.00	0|0|1|0	0.3970	0.7940	0.4613
GP3D_CHLMU	HS90B_HUMAN	HS90B_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|3	4	2	0.44	0.17|0.67	0|1|0|0	0.4210	0.6720	0.4304
GP3D_CHLMU	H2A1D_HUMAN	H2A1D_HUMAN	TCA04_2_SPC|TCA04_3_SPC	11|30	41	2	0.47	0.17|0.78	3|14|2|13	0.4755	0.7780	0.3655
GP3D_CHLMU	ROA1_HUMAN	ROA1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	29|0	29	2	0.51	0.99|0.00	8|0|14|0	0.4965	0.9930	0.3092
GP3D_CHLMU	RS3_HUMAN	RS3_HUMAN	TCA04_2_SPC|TCA04_3_SPC	15|9	24	2	0.53	0.86|0.21	2|1|11|4	0.5365	0.8610	0.2549
GP3D_CHLMU	HNRH1_HUMAN	HNRH1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	43|36	79	2	0.69	0.80|0.58	14|10|19|22	0.6870	0.7990	0.1473
GP3D_CHLMU	ROA2_HUMAN	ROA2_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|25	26	2	0.44	0.01|0.88	0|6|0|14	0.4435	0.8750	0.4004
GP3D_CHLMU	NUCL_HUMAN	NUCL_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|0	5	2	0.43	0.85|0.00	1|0|1|0	0.4250	0.8500	0.4257
GP3D_CHLMU	VIME_HUMAN	VIME_HUMAN	TCA04_2_SPC|TCA04_3_SPC	19|49	68	2	0.48	0.07|0.86	2|26|6|22	0.4645	0.8580	0.3799
GP3D_CHLMU	PRDX1_HUMAN	PRDX1_HUMAN	TCA04_2_SPC|TCA04_3_SPC	12|0	12	2	0.48	0.94|0.00	2|0|5|1	0.4685	0.9370	0.3747
GP3D_CHLMU	NPM_HUMAN	NPM_HUMAN	TCA04_2_SPC|TCA04_3_SPC	15|33	48	2	0.51	0.19|0.78	5|16|6|12	0.4845	0.7820	0.3445
GP3D_CHLMU	KPYM_HUMAN	KPYM_HUMAN	TCA04_2_SPC|TCA04_3_SPC	14|6	20	2	0.41	0.79|0.08	3|4|2|6	0.4380	0.7940	0.4090
GP3D_CHLMU	RS27A_HUMAN	RS27A_HUMAN	TCA04_2_SPC|TCA04_3_SPC	13|15	28	2	0.58	0.58|0.60	5|4|6|7	0.5860	0.5970	0.1996
GP3D_CHLMU	G3P_HUMAN	G3P_HUMAN	TCA04_2_SPC|TCA04_3_SPC	1|5	6	2	0.39	0.16|0.61	0|2|0|1	0.3835	0.6120	0.4718
GP3D_CHLMU	DDX5_HUMAN	DDX5_HUMAN	TCA04_2_SPC|TCA04_3_SPC	13|1	14	2	0.40	0.82|0.02	6|0|4|0	0.4185	0.8170	0.4316
GP3D_CHLMU	DDX17_HUMAN	DDX17_HUMAN	TCA04_2_SPC|TCA04_3_SPC	5|9	14	2	0.47	0.35|0.66	2|4|0|4	0.5070	0.6630	0.2885
